CenINum,CenNom,CenFOpe,CenFecOpeIni,CenFecOpeFin,CenEmiFMDL,CenEmiFDpz,CenEmiDpz [tCO2e/GWh],CenFERNC,CenUbc,CenBar,CenFDua,CenDua,CenPotMax,CenPotMin,CenKxxx/kWh,CenCosVar,CenCosTrp,CenRenTer,CenCosOpe,CenDisEne,CenEtaCVar,CenEtaCTrp,CenConPro%,CenFInv,CenFecInv,CenVI,CenCOMA,CenVidUti,CenEtaCOMA,CenEmp,CenCmr,CenAux
1000,Tal Tal Eólico,T,*,*,F,F,0,T,SIC,Diego de Almagro 220,F,*,98.44758,0,1,0,0,1,0,1,*,*,0,F,*,0,0,24,*,Plan de Obra,Plan de Obra,Eolica
1001,Lalackama,T,*,*,F,F,0,T,SIC,Diego de Almagro 220,F,*,55,0,1,0,0,1,0,1,*,*,0,F,*,0,0,24,*,ELÉCTRICA PANGUIPULLI,ELÉCTRICA PANGUIPULLI,Solar
1002,Lalackama 2,T,*,*,F,F,0,T,SIC,Diego de Almagro 220,F,*,16.5,0,1,0,0,1,0,1,*,*,0,F,*,0,0,24,*,ELÉCTRICA PANGUIPULLI,ELÉCTRICA PANGUIPULLI,Solar
1003,Diego de Almagro TG,T,*,*,F,T,1064,F,SIC,Diego de Almagro 220,F,*,23.6691,0,0.1848,596.093,0,0.337,6.63,0.95,Diego de Almagro Diesel,*,0,F,*,0,0,24,*,Endesa,Endesa,Petróleo Diesel
1004,San Lorenzo 01,T,*,*,F,T,713,F,SIC,Diego de Almagro 220,F,*,28.4145,0,0.376,593.313,0,0.342,24.1,0.979,San Lorenzo 1 Diesel,*,0,F,*,0,0,24,*,Energia Latina,Energia Latina,Petróleo Diesel
1005,San Lorenzo 02,T,*,*,F,T,713,F,SIC,Diego de Almagro 220,F,*,25.922,0,0.376,593.313,0,0.3804,24.1,0.979,San Lorenzo 2 Diesel,*,0,F,*,0,0,24,*,Energia Latina,Energia Latina,Petróleo Diesel
1006,San Lorenzo 03,T,*,*,F,T,713,F,SIC,Diego de Almagro 220,F,*,7.6769,0,0.376,593.313,0,0.289,22.8,0.979,San Lorenzo 3 Diesel,*,0,F,*,0,0,24,*,Energia Latina,Energia Latina,Petróleo Diesel
1007,Emelda 01,T,*,*,F,T,713,F,SIC,Diego de Almagro 220,F,*,33.01725,0,0.376,616.635,0,0.292,14.5,0.95,Emelda Diesel,*,0,F,*,0,0,24,*,Plan de Obra,Plan de Obra,Petróleo Diesel
1008,Emelda 02,T,*,*,F,T,713,F,SIC,Diego de Almagro 220,F,*,35.712,0,0.376,616.635,0,0.314,14.5,0.95,Emelda Diesel,*,0,F,*,0,0,24,*,Plan de Obra,Plan de Obra,Petróleo Diesel
1009,El Salvador TG,T,*,*,F,T,2356,F,SIC,Diego de Almagro 220,F,*,23.6691,0,0.937,598.358,0,0.337,45.26,0.95,Salvador TG Diesel,*,0,F,*,0,0,24,*,Endesa,Endesa,Petróleo Diesel
1010,Diego de Almagro FV,T,*,*,F,F,0,T,SIC,Diego de Almagro 220,F,*,28.1,0,1,0,0,1,0,1,*,*,0,F,*,0,0,24,*,Plan de Obra,Plan de Obra,Solar
1011,San Andres FV,T,*,*,F,F,0,T,SIC,Cardones 220,F,*,50.6,0,1,0,0,1,0,1,*,*,0,F,*,0,0,24,*,Plan de Obra,Plan de Obra,Solar
1012,Llano de Llampos FV,T,*,*,F,F,0,T,SIC,Cardones 220,F,*,101.02,0,1,0,0,1,0,1,*,*,0,F,*,0,0,24,*,Plan de Obra,Plan de Obra,Solar
1013,Cardones,T,*,*,F,T,757,F,SIC,Cardones 220,F,*,152.2748,0,0.239785,605.543,0,0.239,24.41,0.979,Cardones Diesel,*,0,F,*,0,0,24,*,Plan de Obra,Plan de Obra,Petróleo Diesel
1014,Cenizas,T,*,*,F,T,645,F,SIC,Cardones 220,F,*,13.9,0,0.233,427.1,0,0.2303,13.811,0.95,Cenizas IFO,*,0,F,*,0,0,24,*,MINERA LAS CENIZAS,MINERA LAS CENIZAS,Petróleo Diesel
